page,title,price,location,size_m2,url
2,Apartment for rent in Les Berges Du Lac 2. Area of 150 m². S...,"2,500 TND",La Marsa,"150
						m²",N/A
2,Great apartment for rent in Les Berges Du Lac 2.3 beautiful...,"3,300 TND",La Marsa,"180
						m²",N/A
2,Apartment to purchase in Les Berges Du Lac 2.1 room. Caretak...,"3,000 TND",La Marsa,"100
						m²",N/A
2,Flat for rent in Les Berges Du Lac 2. Area of 120 m². Attic,"2,800 TND",La Marsa,"120
						m²",N/A
2,Residence Floria - Cité el Ghazela,"From309,900 TND",Raoued,N/A,N/A
2,Lovely apartment for rent in La Marsa. 3 rooms. New furnitur...,"4,500 TND",La Marsa,"150
						m²",N/A
2,Lovely apartment for rent in La Marsa. 5 rooms. Swimming poo...,"7,000 TND",La Marsa,"220
						m²",N/A
2,Apartment for rent in Gammarth. 2 lovely rooms. Dressing roo...,"4,500 TND",La Marsa,"300
						m²",N/A
2,Rent an apartment in La Marsa. 4 large rooms. Furnishings,"7,500 TND",La Marsa,"250
						m²",N/A
2,Apartment for rent in La Marsa. 5 comfortable rooms. Well fu...,"6,000 TND",La Marsa,"220
						m²",N/A
2,Flat for rent in La Marsa. 2 rooms. Well furnished,"1,900 TND",La Marsa,"65
						m²",N/A
2,Very nice apartment for rent in La Marsa. Total area 120 m²...,"3,500 TND",La Marsa,"120
						m²",N/A
2,Find an apartment for rent in Sidi El Mahrsi. Small area 100...,"1,300 TND",Nabeul,"120
						m²",N/A
2,Triplex S4 with garden in Ain Zaghouan North,"4,000 TND",La Marsa,"320
						m²",N/A
2,Rent an apartment in Sidi Daoued. 4 large rooms. Storage uni...,"5,500 TND",La Marsa,"160
						m²",N/A
2,Rent this apartment in La Marsa. Total area 150 m². With lif...,"3,800 TND",La Marsa,"150
						m²",N/A
2,Great apartment for rent in La Soukra. 2 lovely rooms. Gener...,"1,250 TND",La Soukra,"109
						m²",N/A
3,Flat for rent in La Marsa. 1 room. Fully equipped kitchen,"2,500 TND",La Marsa,"80
						m²",N/A
3,Very nice apartment for rent in Ain Zaghouan. Large area 60...,900 TND,La Marsa,"60
						m²",N/A
3,Very nice apartment for rent in Les Berges Du Lac 2.3 rooms...,"3,000 TND",La Marsa,"120
						m²",N/A
3,Apartment for rent in Les Jardins de Carthage. 2 rooms. Gard...,"1,600 TND",Le Kram,"80
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2.4 large rooms. Rei...,"7,000 TND",La Marsa,3 Rooms,N/A
