scrape_date,category,title,price,location,size_m2,rooms,url,source,page,source_file,price_numeric,size_numeric,rooms_numeric,price_per_m2,log_price,is_sale
20260120,apt_rent,Lovely apartment for rent in Les Jardins de Carthage. Small...,160 TND,N/A,115 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,160.0,115.0,3.0,1.391304347826087,5.081404364984463,False
20260120,apt_rent,Lovely apartment for rent in Aouina. Area 65 m². Caretaker s...,"1,050 TND",N/A,65 m²,1.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1050.0,65.0,1.0,16.153846153846153,6.957497370876951,False
20260120,apt_rent,Rent this apartment. 1 lovely room. Ample storage space,"3,500 TND",N/A,110 m²,1.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,3500.0,110.0,1.0,31.818181818181817,8.160803920954665,False
20260120,apt_rent,Apartment for rent in La Soukra. 2 large rooms. Furnishings,"1,800 TND",N/A,124 m²,2.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1800.0,124.0,2.0,14.516129032258064,7.496097345175956,False
20260120,apt_rent,Apartment for rent in La Soukra. 1 lovely room. Reinforced d...,"1,000 TND",N/A,70 m²,1.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1000.0,70.0,1.0,14.285714285714286,6.90875477931522,False
20260120,apt_rent,Lovely apartment for rent in Chotrana 1.3 rooms. With lift a...,"1,300 TND",N/A,125 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1300.0,125.0,3.0,10.4,7.170888478512505,False
20260120,apt_rent,Apartment for rent in La Soukra. 2 beautiful rooms. Caretake...,"1,050 TND",N/A,68 m²,1.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1050.0,68.0,1.0,15.441176470588236,6.957497370876951,False
20260120,apt_rent,Apartment for rent in Ain Zaghouan Nord. Large area 69 m². R...,"1,500 TND",N/A,69 m²,2.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1500.0,69.0,2.0,21.73913043478261,7.313886831633462,False
20260120,apt_rent,Very nice apartment for rent in Cité Du Stade. Total area 16...,"1,800 TND",N/A,160 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1800.0,160.0,3.0,11.25,7.496097345175956,False
20260120,apt_rent,Apartment for rent in Les Jardins de Carthage. 3 lovely room...,"3,300 TND",N/A,138 m²,2.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,3300.0,138.0,2.0,23.91304347826087,8.101980731853192,False
