title,price,location,size_m2,url,page
Beautiful apartment for sale in El Kantaoui. Total area 135...,"563,644 TND",Hammam Sousse,"135
						m²",N/A,2
Sale of a lovely apartment in El Kantaoui. 1 lovely room. Se...,"342,775 TND",Hammam Sousse,"74
						m²",N/A,2
Find an apartment to buy in El Kantaoui. 2 rooms. Partial se...,"506,961 TND",Hammam Sousse,"116
						m²",N/A,2
Apartment for sale in Chotrana 3.4 large living areas. Secur...,Price on request,La Soukra,"177
						m²",N/A,2
Apartment for sale in Cité Ennasr 2. Total area 126 m². Park...,Price on request,Ariana Ville,"126
						m²",N/A,2
Apartment for sale in Riadh al Andalous. 4 beautiful rooms...,Price on request,Ariana Ville,"162
						m²",N/A,2
Beautiful apartment for sale in Ain Zaghouan Sud. 3 beautifu...,"375,000 TND",La Marsa,"140
						m²",N/A,2
Apartment to purchase in El Menzah 6. Small area 146 m². Dou...,"320,000 TND",Ariana Ville,"146
						m²",N/A,2
Apartment for sale in Cité Ennasr 2. 4 comfortable rooms. Ca...,"370,000 TND",Ariana Ville,"168
						m²",N/A,2
Beautiful apartment for sale in Centre Urbain Nord. 3 comfor...,"350,000 TND",Cité El Khadra,"100
						m²",N/A,2
Apartment to purchase in Les Jardins de Carthage. 1 Living a...,Price on request,Le Kram,"60
						m²",N/A,2
Apartment for sale in El Menzah 4.3 large living areas. Rein...,"350,000 TND",El Menzah,"149
						m²",N/A,2
Fabulous apartment for sale in La Marsa. 3 beautiful rooms...,"950,000 TND",La Marsa,"230
						m²",N/A,2
Apartment for sale in La Marsa. 4 large living areas. Quiet...,"1,100,000 TND",La Marsa,"210
						m²",N/A,2
N/A,N/A,N/A,N/A,N/A,2
Beautiful apartment for sale in La Soukra. Small area 150 m²...,Price on request,La Soukra,"150
						m²",N/A,3
Apartment to purchase in La Perle du Lac 1. Small area 224 m...,Price on request,La Marsa,"224
						m²",N/A,3
Apartment for sale in Les Jardins de Carthage. 1 lovely room...,Price on request,Le Kram,"89
						m²",N/A,3
Sale of a lovely apartment in Les Jardins de Carthage. 3 roo...,"640,000 TND",Le Kram,"129
						m²",N/A,3
