listing_id,listing_type,title,price_text,city,area,size_m2,rooms_text,bathrooms_text,pieces_text,condition,furnished_text,thumbnail_url,detail_url,description,property_type,bedrooms_detail,bathrooms_detail,surface_detail,year_built,features_raw,has_garden,has_terrace,has_balcony,has_pool,has_garage,has_cellar,has_security,has_ac,has_heating,has_equipped_kitchen
8280542,rent,Triplex à la soukra chotrana 3,2 800 TND,La Soukra,Chotrana 3,250 m²,4 Chambres,,2 Pièces,,,https://www.mubawab-media.com/ad/8/280/542F/h/image1_81722176.avif,https://www.mubawab.tn/fr/a/8280542/triplex-%C3%A0-la-soukra-chotrana-3,,,,,,,,False,False,False,False,False,False,False,False,False,False
8282264,rent,Une Villa de charme aux Berges du Lac 2,12 000 TND,La Marsa,Les Berges Du Lac 2,670 m²,4 Chambres,,7 Pièces,,,https://www.mubawab-media.com/ad/8/282/264F/h/thumb_1235605_property_xlarge_81744377.avif,https://www.mubawab.tn/fr/a/8282264/une-villa-de-charme-aux-berges-du-lac-2,,,,,,,,False,False,False,False,False,False,False,False,False,False
8138988,rent,Ennasr 2 à louer spacieux Triplex S4,Prix à consulter,Ariana Ville,Cité Ennasr 2,210 m²,4 Chambres,,6 Pièces,,,https://www.mubawab-media.com/ad/8/138/988F/h/FB_IMG_1768826316765_81813268.avif,https://www.mubawab.tn/fr/a/8138988/ennasr-2-%C3%A0-louer-spacieux-triplex-s4,,,,,,,,False,False,False,False,False,False,False,False,False,False
8289071,rent,Location étage de villa stnading a el menzah 1,2 500 TND,El Menzah,El Menzah 1,238 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/289/071F/h/FB_IMG_1768913673907_81812806.avif,https://www.mubawab.tn/fr/a/8289071/location-%C3%A9tage-de-villa-stnading-a-el-menzah-1,,,,,,,,False,False,False,False,False,False,False,False,False,False
8284228,rent,Duplex s4 vue mer à la marsa,6 500 TND,La Marsa,,200 m²,4 Chambres,,5 Pièces,,,https://www.mubawab-media.com/ad/8/284/228F/h/609416089_736074812880865_8317061353420130857_n_81761964.avif,https://www.mubawab.tn/fr/a/8284228/duplex-s4-vue-mer-%C3%A0-la-marsa,,,,,,,,False,False,False,False,False,False,False,False,False,False
8272060,rent,Un duplex s3 indépendant à gammarth,2 400 TND,La Marsa,Gammarth,200 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/272/060F/h/598050037_816673534690992_8893580363113505319_n_81630383.avif,https://www.mubawab.tn/fr/a/8272060/un-duplex-s3-ind%C3%A9pendant-%C3%A0-gammarth,,,,,,,,False,False,False,False,False,False,False,False,False,False
8279897,rent,A louer un rez de chaussée de villa S4 au lac2,4 700 TND,La Marsa,Les Berges Du Lac 2,250 m²,3 Chambres,1 Salle de bain,2 Pièces,,,https://www.mubawab-media.com/ad/8/279/897F/h/Design%20sans%20titre%20-%202026-01-03T132027.793_81715428.avif,https://www.mubawab.tn/fr/a/8279897/a-louer-un-rez-de-chauss%C3%A9e-de-villa-s4-au-lac2,,,,,,,,False,False,False,False,False,False,False,False,False,False
,rent,Résidence Canopée – Chotrana 1,À partir de 460 000 TND,La Soukra,Chotrana 1,,,,,,,,https://www.mubawab.tn/fr/p/4508/r%C3%A9sidence-canop%C3%A9e-%E2%80%93-chotrana-1,,,,,,,,False,False,False,False,False,False,False,False,False,False
8286397,rent,A Loué Duplex,3 000 TND,Le Bardo,,300 m²,5 Chambres,,6 Pièces,,,https://www.mubawab-media.com/ad/8/286/397F/h/BARDO%20%283%29_81784334.avif,https://www.mubawab.tn/fr/a/8286397/a-lou%C3%A9-duplex,,,,,,,,False,False,False,False,False,False,False,False,False,False
8002838,rent,Villa de style colonial à la Marsa,4 200 TND,La Marsa,,180 m²,3 Chambres,,4 Pièces,,,https://www.mubawab-media.com/ad/8/002/838F/h/IMG-20241104-WA0018_79155817.avif,https://www.mubawab.tn/fr/a/8002838/villa-de-style-colonial-%C3%A0-la-marsa,,,,,,,,False,False,False,False,False,False,False,False,False,False
8214315,rent,Duplex S5 de 150m2 à Menzah 9,1 800 TND,El Menzah,El Menzah 9,150 m²,5 Chambres,,5 Pièces,,,https://www.mubawab-media.com/ad/8/214/315F/h/thumb_1160223_property_xlarge_81009015.avif,https://www.mubawab.tn/fr/a/8214315/duplex-s5-de-150m2-%C3%A0-menzah-9,,,,,,,,False,False,False,False,False,False,False,False,False,False
8263381,rent,A loué maison meublé à Chatt Meriem,2 000 TND,Akouda,,180 m²,2 Chambres,1 Salle de bain,2 Pièces,,,https://www.mubawab-media.com/ad/8/263/381F/h/thumb_1218010_property_large_81532403.avif,https://www.mubawab.tn/fr/a/8263381/a-lou%C3%A9-maison-meubl%C3%A9-%C3%A0-chatt-meriem,,,,,,,,False,False,False,False,False,False,False,False,False,False
8265536,rent,A loué villa de luxe meublé à chatt meriem,6 000 TND,Akouda,,1300 m²,5 Chambres,1 Salle de bain,5 Pièces,,,https://www.mubawab-media.com/ad/8/265/536F/h/thumb_1219539_property_large_81558336.avif,https://www.mubawab.tn/fr/a/8265536/a-lou%C3%A9-villa-de-luxe-meubl%C3%A9-%C3%A0-chatt-meriem,,,,,,,,False,False,False,False,False,False,False,False,False,False
8228316,rent,Rez de chaussée de villa à Gammarth forêt,4 500 TND,La Marsa,Gammarth,180 m²,2 Chambres,,3 Pièces,,,https://www.mubawab-media.com/ad/8/228/316F/h/1000123479_81158960.avif,https://www.mubawab.tn/fr/a/8228316/rez-de-chauss%C3%A9e-de-villa-%C3%A0-gammarth-for%C3%AAt,,,,,,,,False,False,False,False,False,False,False,False,False,False
