page,title,price,location,listing_date,url,price_num,type,bedrooms,location_clean,age_hours
2,Appartement S+1 à louer – Nouvelle Soukra,1200 DT,Tunis,30 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s1-louer-nouvelle-soukra/696f63bacfcddb325c09cac6/,1200.0,rent,,Tunis,0.5
2,"À LOUER | S+1 Neuf Jamais Habité – Ain Zaghouan, residence avec salle de sport",1200 DT,Tunis,33 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-louer-s1-neuf-jamais-habit-ain-zaghouan-residence-avec-salle-de-sport/696f62e2181355990924519f/,1200.0,rent,,Tunis,0.55
2,"À LOUER : Un appartement S+1, idéalement situé à La Nouvelle Soukra",1100 DT,Tunis,35 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1-idalement-situ-la-nouvelle-soukra/696f6299cfcddb325c09ca6a/,1100.0,rent,,Tunis,0.5833333333333334
2,"À LOUER : Un appartement S+2 au rez de chaussée , situé au Jardin de Carthage",1900 DT,Tunis,35 minutes ago,https://www.tayara.tn/item/appartements/tunis/jardins-de-carthage/-louer-un-appartement-s2-au-rez-de-chausse-situ-au-jardin-de-carthage/696f626f2838b4e20246d997/,1900.0,rent,,Tunis,0.5833333333333334
2,À louer : Un appartement S+2 (Jamais Habité) idéalement situé à La Nouvelle Soukra,1500 DT,Tunis,36 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-jamais-habit-idalement-situ-la-nouvelle-soukra/696f625e2838b4e20246d992/,1500.0,rent,,Tunis,0.6
3,À LOUER : Un appartement S+1 à La Nouvelle Soukra,1200 DT,Tunis,37 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1-la-nouvelle-soukra/696f6207cfcddb325c09ca3e/,1200.0,rent,,Tunis,0.6166666666666667
3,À Louer : Un appartement S+2 (Jamais Habité) situé à La Nouvelle Soukra,1350 DT,Tunis,38 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-jamais-habit-situ-la-nouvelle-soukra/696f61c3cfcddb325c09ca1c/,1350.0,rent,,Tunis,0.6333333333333333
3,À louer – Appartement S+2 à Jardins de Laouina,1100 DT,Tunis,39 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-appartement-s2-jardins-de-laouina/696f61a62838b4e20246d94e/,1100.0,rent,,Tunis,0.65
3,À louer – Appartement S+1 neuf à Ain Zaghouan,1200 DT,Tunis,41 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-appartement-s1-neuf-ain-zaghouan/696f6102cfcddb325c09c9e5/,1200.0,rent,,Tunis,0.6833333333333333
3,"🏡LV001183 À Louer – Bel Appartement S+2 à la Cité de la Santé, Bizerte",850 DT,Bizerte,43 minutes ago,https://www.tayara.tn/item/appartements/bizerte/bizerte/lv001183-louer-bel-appartement-s2-la-cit-de-la-sant-bizerte/695e21cdcd04d08be756d2bc/,850.0,rent,,Bizerte,0.7166666666666667
3,"À LOUER :Un appartement S+2 richement meublé, idéalement situé à Ain Zaghouan.",1350 DT,Tunis,an hour ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-louer-un-appartement-s2-richement-meubl-idalement-situ-ain-zaghouan/696f5ffa18135599092450b3/,1350.0,rent,,Tunis,0.0
3,À Louer – Espace bureautique à Médina Jedida,1800 DT,tunis,an hour ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/tunis/-louer-espace-bureautique-mdina-jedida/691eed9c265523b710e83b2d/,1800.0,rent,,Tunis,0.0
4,location appartement meublé par jour cité nasser tunis ☎️24933824,70 DT,Ariana,an hour ago,https://www.tayara.tn/item/appartements/ariana/ennasr/location-appartement-meubl-par-jour-cit-nasser-tunis-24933824/696f5a042838b4e20246d6bb/,70.0,rent,,Ariana,0.0
4,à louer appartement studio meublé location par jour nuitée 22333312,80 DT,Tunis,an hour ago,https://www.tayara.tn/item/appartements/tunis/menzah/-louer-appartement-studio-meubl-location-par-jour-nuite-22333312/696f59372838b4e20246d654/,80.0,rent,,Tunis,0.0
4,location s1 par nuitée appartement studio meuble a louer par jour / nuitée 📢 58616768,80 DT,Ariana,an hour ago,https://www.tayara.tn/item/appartements/ariana/les-jardins-el-menzah-2/location-s1-par-nuite-appartement-studio-meuble-a-louer-par-jour-nuite-58616768/696f59032838b4e20246d643/,80.0,rent,,Ariana,0.0
4,à louer appartement studio meublé s1 ennasr location par jour nuitée,70 DT,Tunis,an hour ago,https://www.tayara.tn/item/locations-de-vacances/tunis/el-menzah-9/-louer-appartement-studio-meubl-s1-ennasr-location-par-jour-nuite/696f58d81813559909244df1/,70.0,rent,,Tunis,0.0
4,✨ À Louer – S+1 jamais à Sahloul 4 ✨,699 DT,Sousse,an hour ago,https://www.tayara.tn/item/appartements/sousse/sahloul/-louer-s1-jamais-sahloul-4-/692eec00145e1617cbaf5b22/,699.0,rent,,Sousse,0.0
4,à louer étage de villa (s +3)à Ennasr,1300 DT,Ariana,an hour ago,https://www.tayara.tn/item/maisons-et-villas/ariana/cit-ennasr-2/-louer-tage-de-villa-s-3-ennasr/696f56392838b4e20246d4eb/,1300.0,rent,,Ariana,0.0
4,Appartement s2 meublé à louer au Lac 2 MAL1702,2200 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/lac-2/appartement-s2-meubl-louer-au-lac-2-mal1702/695e25e2cd04d08be756d4aa/,2200.0,rent,,Tunis,2.0
4,Duplex S+3 avec jardin à louer à La Marsa MDL0113,3000 DT,Tunis,2 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/la-marsa/duplex-s3-avec-jardin-louer-la-marsa-mdl0113/68ef74f753fa6375757cd980/,3000.0,rent,,Tunis,2.0
4,Duplex s4 avec terrasse à louer à Ain Zaghouan nord MDL0710,3400 DT,Tunis,2 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/ain-zaghouan-nord/duplex-s4-avec-terrasse-louer-ain-zaghouan-nord-mdl0710/696130f3a00bf1861737ae56/,3400.0,rent,,Tunis,2.0
4,Appartement s1 à louer aux Jardins de Carthage ZAL1234,2200 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/jardins-de-carthage/appartement-s1-louer-aux-jardins-de-carthage-zal1234/695d0f078914daae51a7005a/,2200.0,rent,,Tunis,2.0
5,A louer Plateau neuf sup 470m² Lac 3,11000 DT,Tunis,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/le-kram/a-louer-plateau-neuf-sup-470m-lac-3/68dd130707c7711d7c79f948/,11000.0,rent,,Tunis,2.0
5,A louer plateau open space neuf 500m² lac 3,11700 DT,Tunis,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/le-kram/a-louer-plateau-open-space-neuf-500m-lac-3/678f6ceb9bffab23b80d4b7e/,11700.0,rent,,Tunis,2.0
7,📍RIADH AL ANDALOUSE : APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,1600 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/riadh-andalous/riadh-al-andalouse-appartement-s1-richement-meubl-louer/696f49532838b4e20246d096/,1600.0,rent,,Ariana,2.0
7,CITE ENNOZHA - ARIANA : DES BUREAUX H+2 À LOUER,1150 DT,Ariana,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/ariana/ariana/cite-ennozha-ariana-des-bureaux-h2-louer/696f48fa18135599092448a4/,1150.0,rent,,Ariana,2.0
7,📍NOUVELLE ARIANA - AVENUE COMMERCIALE À LOUER – OPEN SPACE BUREAUTIQUE,600 DT,Ariana,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/ariana/nouvelle-ariana/nouvelle-ariana-avenue-commerciale-louer-open-space-bureautique/696f48c62838b4e20246d065/,600.0,rent,,Ariana,2.0
8,📍LES BERGES DU LAC 2 : APPARTEMENT S+4 DE TRES HAUT STANDING - RICHEMENT MEUBLÉE À LOUER,5000 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/lac-2/les-berges-du-lac-2-appartement-s4-de-tres-haut-standing-richement-meuble-louer/696f48912838b4e20246d051/,5000.0,rent,,Tunis,2.0
8,MONTPLAISIR : BUREAU H+2 À LOUER,1800 DT,Tunis,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/montplaisir/montplaisir-bureau-h2-louer/696f48732dfbb8171c4b585a/,1800.0,rent,,Tunis,2.0
8,📍 MUTUELLE VILLE – MAGNIFIQUE VILLA S+3 DE HAUT STANDING À LOUER,3800 DT,Tunis,2 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/mutuelleville/-mutuelle-ville-magnifique-villa-s3-de-haut-standing-louer/696f485d181355990924485d/,3800.0,rent,,Tunis,2.0
8,CENTRE URBAIN NORD : APPARTEMENT S+2 A LOUER,1600 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/centre-urbain-nord/centre-urbain-nord-appartement-s2-a-louer/696f483f2838b4e20246d035/,1600.0,rent,,Tunis,2.0
8,À LOUER - FOND DE COMMERCE PIEDS DANS L’EAU À SIDI SALEM - BIZERT,5000 DT,Bizerte,2 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/bizerte/bizerte/-louer-fond-de-commerce-pieds-dans-leau-sidi-salem-bizert/6807a828c1f8f57898df0aac/,5000.0,rent,,Bizerte,2.0
8,📍JARDINS D’EL MENZAH 2 : APPARTEMENT S+4 A LOUER,1750 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/les-jardins-el-menzah-2/jardins-del-menzah-2-appartement-s4-a-louer/696f48092838b4e20246d022/,1750.0,rent,,Ariana,2.0
8,📍ENNASR 2: APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,1100 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s1-richement-meubl-louer/696f47e4181355990924483e/,1100.0,rent,,Ariana,2.0
8,ENNASR 2 : APPARTEMENT S+3 A LOUER,1900 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-a-louer/696f47bf1813559909244834/,1900.0,rent,,Ariana,2.0
8,📍CITE OLYMPIQUE: APPARTEMENT S+3 À LOUER VIDE,1500 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/cit-olympique/cite-olympique-appartement-s3-louer-vide/696f47762838b4e20246cfe1/,1500.0,rent,,Tunis,3.0
8,📍ENNASR 2 : APPARTEMENT S+1 A LOUER,1100 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s1-a-louer/696f47552838b4e20246cfcc/,1100.0,rent,,Ariana,3.0
8,📍MENZAH 9 C : APPARTEMENT S+2 A LOUER,1300 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/el-menzah-9/menzah-9-c-appartement-s2-a-louer/696f47342838b4e20246cfc0/,1300.0,rent,,Tunis,3.0
8,📍MENZAH 9 C : APPARTEMENT S+2 À LOUER,1650 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/menzah/menzah-9-c-appartement-s2-louer/696f471c1e1efe5ccc6ed0fd/,1650.0,rent,,Tunis,3.0
8,CENTRE URBAIN NORD : BUREAU H+3 À LOUER Meublé ou vide,1600 DT,Tunis,3 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/centre-urbain-nord/centre-urbain-nord-bureau-h3-louer-meubl-ou-vide/696f46eb2838b4e20246cfa3/,1600.0,rent,,Tunis,3.0
8,📍 ENNASR 1 : APPARTEMENT S+3 A LOUER,1450 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/ennasr/-ennasr-1-appartement-s3-a-louer/696f46ad2838b4e20246cf94/,1450.0,rent,,Ariana,3.0
8,📍 ARIANA ESSOUGHRA: REZ-DE-CHAUSSÉE DE VILLA S+3 MEUBLÉ JAMAIS HABITÉ À LOUER,1600 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/ariana-essoughra/-ariana-essoughra-rezdechausse-de-villa-s3-meubl-jamais-habit-louer/696f466e18135599092447b0/,1600.0,rent,,Ariana,3.0
8,📍 RIADH EL ANDALOUS : APPARTEMENT S+3 A USAGE BUREAUTIQUE LOUER,1600 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/riadh-andalous/-riadh-el-andalous-appartement-s3-a-usage-bureautique-louer/696f4631181355990924479c/,1600.0,rent,,Ariana,3.0
9,ENNASR 2 : BUREAU À LOUER,1200 DT,Ariana,3 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/ariana/cit-ennasr-2/ennasr-2-bureau-louer/696f45321e1efe5ccc6ed05f/,1200.0,rent,,Ariana,3.0
9,A louer S+2 a El Ghazela,1200 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/ghazela/a-louer-s2-a-el-ghazela/694954ab8914daae519fac8f/,1200.0,rent,,Ariana,3.0
9,A louer un appartement à Rades,550 DT,Ben Arous,3 hours ago,https://www.tayara.tn/item/appartements/ben-arous/rads/a-louer-un-appartement-rades/696f43441e1efe5ccc6ecfc6/,550.0,rent,,Ben Arous,3.0
9,🏡 À louer | S+1 jamais habité – / Laouina /,1152 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-s1-jamais-habit-laouina-/696f43232838b4e20246ce95/,1152.0,rent,,Tunis,3.0
9,📍 Ennasr 2 à Louer spacieux Étage de villa S+4,1599 DT,tunis,3 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/-ennasr-2-louer-spacieux-tage-de-villa-s4/69634573a00bf186173884e0/,1599.0,rent,,Tunis,3.0
9,📍 ENNASR 2 à louer DUPLEX S+4 avec terrasse,1649 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/-ennasr-2-louer-duplex-s4-avec-terrasse/696e29d96026ba3e44d25188/,1649.0,rent,,Ariana,3.0
9,a louer s+2 meublé tres haut standing a ennasr,1900 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/a-louer-s2-meubl-tres-haut-standing-a-ennasr/695ccfc5a5f53ffb7c90678b/,1900.0,rent,,Ariana,3.0
10,📌 À louer | Bureau H+2 – Lac du 1 (à côté de l’Hôtel Mövenpick),1500 DT,Tunis,3 hours ago,https://www.tayara.tn/item/bureaux-et-plateaux/tunis/lac-1/-louer-bureau-h2-lac-du-1-ct-de-lhtel-mvenpick/696f3da82838b4e20246cc60/,1500.0,rent,,Tunis,3.0
10,A LOUER APPARTEMENT S1 A CITEE EL WAHAT,850 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-louer-appartement-s1-a-citee-el-wahat/696f3a9a2838b4e20246cb24/,850.0,rent,1,Tunis,3.0
