scrape_date,category,title,price,location,size_m2,rooms,url,source,page
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,5
20260120,apt_sale,N/A,"598,719 TND",N/A,144 m²,3,N/A,mubawab_ultra,5
20260120,apt_sale,N/A,"598,719 TND",N/A,144 m²,3,N/A,mubawab_ultra,5
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,5
20260120,apt_sale,N/A,"500,000 TND",,112 m²,2,N/A,mubawab_ultra,6
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,6
20260120,apt_sale,N/A,"500,000 TND",N/A,112 m²,2,N/A,mubawab_ultra,6
20260120,apt_sale,N/A,"500,000 TND",N/A,112 m²,2,N/A,mubawab_ultra,6
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,6
20260120,apt_sale,Apartment for sale in Bou Mhel. 3 large living areas. Reinfo...,"380,000 TND",,120 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Fabulous apartment for sale in Les Jardins de Carthage. 1 ro...,N/A,,63 m²,1,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment to purchase in La Soukra. 1 Room. Lift and terrace...,"295,000 TND",,87 m²,1,N/A,mubawab_ultra,7
20260120,apt_sale,Sell apartment in Cité el Ghazela. Area of 160 m². With gara...,"550,000 TND",,160 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in La Marsa. 4 large rooms. Sound...,"930,000 TND",,225 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment for sale in Sfax Ville. 3 large living areas. Ther...,"232,000 TND",,125 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Find an apartment to buy in Borj Louzir. 4 large living area...,"263,000 TND",,117 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Résidence MY HOUSE 1,N/A,,N/A,N/A,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment for sale in Ain Zaghouan Nord. Area 114 m². Privat...,"416,500 TND",,114 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Fabulous apartment for sale in Cité de la Plage. Dimension 1...,"720,000 TND",,160 m²,4,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment for sale in Akouda. Surface area 100 m². Integrate...,"260,000 TND",,100 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in Aouina. 4 large rooms. With Li...,"315,000 TND",,137 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment to purchase in Aouina. 3 comfortable rooms. Soundp...,"245,000 TND",,111 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in Aouina. 3 rooms. Reinforced do...,"490,000 TND",,142 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Beautiful apartment for sale in Aouina. 2 comfortable rooms...,"216,600 TND",,57 m²,1,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment S1 at Les Jardins de Carthage,"370,000 TND",,65 m²,1,N/A,mubawab_ultra,7
20260120,apt_sale,Sell apartment in Les Jardins de Carthage. Dimension 163 m²...,N/A,,163 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in Les Jardins d'El Menzah 1.3 la...,N/A,,103 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Fabulous apartment for sale in Cité El Wafa. Small area 1 m²...,"239,400 TND",,1 m²,1,N/A,mubawab_ultra,7
20260120,apt_sale,Beautiful apartment for sale in Sousse Jaouhara. Area of 102...,"293,000 TND",,102 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment to purchase in Ain Zaghouan Nord. Large area 164 m...,N/A,,164 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in Gammarth. 3 comfortable rooms...,"975,000 TND",,109 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Fabulous apartment for sale in Cité El Wafa. Large area 116...,"340,000 TND",,116 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Fabulous apartment for sale in Cité El Khalil. Small area 14...,"825,000 TND",,143 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,"Fabulous apartment for sale in Nabeul. 3 rooms. Gardeners, W...","350,000 TND",,107 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment. 4 comfortable rooms. Lift and te...,"295,000 TND",,140 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Sale of a lovely apartment in Nouvelle Medina. Surface area...,"230,000 TND",,107 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,"Sell apartment. Area of 125 m². Soundproofing, Secured door...","285,000 TND",,125 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,"Apartment for sale. Small area 110 m². Stunning sea view, Se...","240,000 TND",,110 m²,3,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment for sale. Surface area 80 m². Fully furnished,"270,000 TND",,80 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment to purchase. Area 80 m². Well furnished,N/A,,80 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Sell apartment. Total area 140 m². Fully furnished,"350,000 TND",,140 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,Apartment to purchase in Chotrana 3. Dimension 85 m². Carpar...,"480,000 TND",,85 m²,2,N/A,mubawab_ultra,7
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,7
20260120,apt_sale,N/A,"383,000 TND",,101 m²,2,N/A,mubawab_ultra,8
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,8
20260120,apt_sale,N/A,"383,000 TND",N/A,101 m²,2,N/A,mubawab_ultra,8
20260120,apt_sale,N/A,"383,000 TND",N/A,101 m²,2,N/A,mubawab_ultra,8
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,8
20260120,apt_sale,N/A,"676,000 TND",,211 m²,3,N/A,mubawab_ultra,9
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,9
20260120,apt_sale,N/A,"676,000 TND",N/A,211 m²,3,N/A,mubawab_ultra,9
20260120,apt_sale,N/A,"676,000 TND",N/A,211 m²,3,N/A,mubawab_ultra,9
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,9
20260120,apt_sale,"Apartment to purchase. Area of 46 m². Secured door, Secured...","189,000 TND",,46 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Beautiful apartment for sale in La Soukra. Small area 150 m²...,N/A,,150 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment to purchase in La Perle du Lac 1. Small area 224 m...,N/A,,224 m²,4,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Les Jardins de Carthage. 1 lovely room...,N/A,,89 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Beautiful apartment for sale in Les Jardins de Carthage. Sur...,N/A,,143 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in La Soukra. 3 rooms. Parking spac...,"700,000 TND",,135 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Sell apartment in Les Jardins de Carthage. 3 large living ar...,N/A,,121 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,RESIDENCE MYRIAM 3 - Carthage Gardens,"640,000 TND",,N/A,N/A,N/A,mubawab_ultra,10
20260120,apt_sale,Sale of a lovely apartment in Cité El Agba. 2 large living a...,N/A,,N/A,N/A,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Chotrana 1. Area of 105 m². Reinforced...,"672,341 TND",,105 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Sousse Jaouhara. 2 rooms,"340,000 TND",,119 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Sale of a lovely apartment in Kairouan Ville. 3 large living...,"291,292 TND",,105 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Riadh al Andalous. 3 beautiful rooms,N/A,,143 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in Ariana. Small area 69 m². Air co...,"165,000 TND",,69 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Fabulous apartment for sale in El Menzah 7.3 beautiful rooms...,N/A,,180 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in La Soukra. 5 comfortable rooms. With g...,N/A,,169 m²,4,N/A,mubawab_ultra,10
20260120,apt_sale,Sale of a lovely apartment in Hammamet. Area 107 m². Caretak...,N/A,,107 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Hammamet. 1 lovely room. Residence wit...,N/A,,58 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in Nabeul. 2 lovely rooms. Green ar...,N/A,,99 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Sell apartment in Cité Erriadh. 4 rooms. Carpark and garden...,"895,000 TND",,247 m²,4,N/A,mubawab_ultra,10
20260120,apt_sale,Sale of a lovely apartment in Aouina. 2 comfortable rooms. T...,N/A,,64 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Sale of a lovely apartment in Chotrana 1.2 large living area...,N/A,,57 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment to purchase. 2 large rooms. Double glazing and rei...,"281,000 TND",,75 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Beautiful apartment for sale in Chotrana 1. Dimension 59 m²...,"247,220 TND",,59 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in Sidi Daoued. 2 beautiful rooms...,"430,000 TND",,120 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Luxury villas & houses for rent in Hammamet Sud. 4 large roo...,"375,000 TND",,90 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in Yasmine Hammamet. 3 rooms. Parki...,"450,000 TND",,145 m²,3,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Yasmine Hammamet. 2 beautiful rooms. R...,"550,000 TND",,128 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment for sale in Hammamet Nord. Large area 74 m². Integ...,"395,000 TND",,74 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Sell apartment in Cité El Wafa. 2 large living areas. Fully...,"215,000 TND",,64 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment to purchase in Hammamet. Small area 95 m². Beautif...,"260,000 TND",,95 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,Apartment to purchase in Yasmine Hammamet. 1 room. Fully fur...,"290,000 TND",,63 m²,1,N/A,mubawab_ultra,10
20260120,apt_sale,Sell apartment in Hammamet Nord. 3 large rooms. Well equippe...,"300,000 TND",,65 m²,2,N/A,mubawab_ultra,10
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,10
20260120,apt_sale,Find an apartment to buy in Bou Mhel. 4 large rooms. Double...,"407,000 TND",,129 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Beautiful apartment for sale in Ezzahra. Total area 116 m²...,"287,000 TND",,116 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Beautiful apartment for sale in Les Jardins d'El Menzah 2. D...,N/A,,N/A,2,N/A,mubawab_ultra,11
20260120,apt_sale,Fabulous apartment for sale in La Soukra. 1 room. Parking sp...,"310,000 TND",,65 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,"Sell apartment. 2 beautiful rooms. Double glazed window, Cen...","447,776 TND",,134 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Cité Taieb Mhiri. Dimension 61 m². Satelli...,"257,000 TND",,61 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Les Jardins de Carthage. 2 rooms. Doub...,N/A,,111 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,JINENE SOUKRA: Luxury and Comfort at Chotrana 3,"390,000 TND",,N/A,N/A,N/A,mubawab_ultra,11
20260120,apt_sale,Beautiful apartment for sale in Ain Zaghouan Nord. Dimension...,"386,000 TND",,117 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Fabulous apartment for sale in Les Jardins de Carthage. 3 be...,"700,000 TND",,147 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Find a house to rent in Aouina. Area 220 m². Double glazed w...,"290,000 TND",,220 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in El Manar 2. Dimension 130 m². Terrace,"294,000 TND",,130 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,"Sale of a lovely apartment. Surface area 167 m². Cellar, Lar...","680,000 TND",,167 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,"Apartment for sale. Surface area 89 m². With Lift, Balcony","325,000 TND",,89 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Find an apartment to buy. Area 124 m². Lift and parking,"450,000 TND",,124 m²,4,N/A,mubawab_ultra,11
20260120,apt_sale,"Find an apartment to buy. Surface area 61 m². Cellar, Large...","275,000 TND",,61 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Nabeul. Small area 46 m². Lift and garage,"260,000 TND",,46 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Aouina. Total area 121 m². Reinforced door...,N/A,,121 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Sale of a lovely apartment. Surface area 160 m². Caretaker s...,"642,000 TND",,160 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Chotrana 1.2 large rooms. Double glazing a...,"277,970 TND",,61 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Kairouan Ville. 2 beautiful rooms,"234,741 TND",,99 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Ain Zaghouan Nord. Dimension 203 m². Fully...,N/A,,203 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,"Sell apartment in Chotrana 1.1 room. Gardeners, Large terrac...",N/A,,68 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Aouina. 3 rooms. Caretaker service availab...,N/A,,91 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Hammamet Nord. 3 rooms. Storage unit,"340,000 TND",,70 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Hammamet. Total area 100 m². Garden an...,"300,000 TND",,100 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Hammamet Nord. 3 rooms. Parking spaces...,"390,000 TND",,116 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Fabulous apartment for sale in Les Jardins de Carthage. 3 co...,"700,000 TND",,143 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Hammamet. 3 large rooms. New furniture,"470,000 TND",,127 m²,2,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Riadh al Andalous. 1 Living area,N/A,,223 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Sell apartment in Nouvelle Ariana. 1 Living area,N/A,,900 m²,1,N/A,mubawab_ultra,11
20260120,apt_sale,Fabulous apartment for sale in Nouvelle Ariana. 80 rooms,N/A,,370 m²,80,N/A,mubawab_ultra,11
20260120,apt_sale,Beautiful apartment for sale in El Mourouj 6.3 lovely rooms...,"335,000 TND",,125 m²,3,N/A,mubawab_ultra,11
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,11
20260120,apt_sale,Apartment for sale in Les Jardins de Carthage. Large area 11...,N/A,,111 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Offices & shops for sale in La Manouba. Surface area 67 m²,"348,000 TND",,67 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment to purchase in Hammamet Nord. 2 rooms. Exceptional...,N/A,,N/A,2,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in Sahloul. 2 rooms. Residence...,N/A,,N/A,2,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment for sale in Les Jardins de Carthage. 3 beautiful r...,N/A,,160 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment for sale in La Manouba. 2 beautiful rooms,N/A,,109 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Fabulous apartment for sale in Ain Zaghouan Nord. 2 beautifu...,"390,500 TND",,119 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Khadouja Residence,"533,600 TND",,N/A,N/A,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment to purchase in Sousse Jaouhara. Area 124 m²,"357,000 TND",,124 m²,2,N/A,mubawab_ultra,12
