feature,importance
page,0.43257003674144423
category_apt_sale,0.2562016652630365
category_house_sale,0.0973732110188924
location_clean_Nabeul,0.04018756915742813
size_numeric,0.03526727485458193
rooms_numeric,0.018541841952601404
location_clean_Ben Arous,0.01841177233297335
location_clean_Sousse,0.017199722653644584
location_clean_Bizerte,0.010889208146154903
location_clean_La Manouba,0.008199774766074471
