page,title,price,location,listing_date,url,source,size_m2,price_num,type,bedrooms,location_clean
1,A vendre deux lots de terrain 430m² est 341m² Titre individuelle viabilisé Lotissement ELMASSMOUDI 300m du rom-point Parc Soukra,800 DT,Ariana,20 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/la-soukra/a-vendre-deux-lots-de-terrain-430m-est-341m-titre-individuelle-viabilis-lotissement-elmassmoudi-300m-du-rompoint-parc-soukra/6746fccd0d8480a1e0188710/,tayara,,800.0,sale,,Ariana
1,A vendre un terrain 147m² titre individuelle ce trouve a coté clinique soukra Ain Zaghouin la Marsa,200000 DT,tunis,21 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/tunis/tunis/a-vendre-un-terrain-147m-titre-individuelle-ce-trouve-a-cot-clinique-soukra-ain-zaghouin-la-marsa/67596cdf8729cead59eae56b/,tayara,,200000.0,sale,,Tunis
1,A vendre Villa S+3 + studio – 330 m² terrain – Carthage Dermech,950000 DT,Tunis,21 minutes ago,https://www.tayara.tn/item/maisons-et-villas/tunis/carthage/a-vendre-villa-s3-studio-330-m-terrain-carthage-dermech/696f65b2abc480ecf871ef6e/,tayara,,950000.0,sale,,Tunis
1,À LOUER - Villa indépendante haut standing avec piscine,3500 DT,Ariana,22 minutes ago,https://www.tayara.tn/item/maisons-et-villas/ariana/la-soukra/-louer-villa-indpendante-haut-standing-avec-piscine/696f6590abc480ecf871ef5e/,tayara,,3500.0,rent,,Ariana
1,À louer un appartement s1 haut standing à la nouvelle soukra,1200 DT,Tunis,23 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1-haut-standing-la-nouvelle-soukra/696f65602838b4e20246dac5/,tayara,,1200.0,rent,,Tunis
2,🏡 À VENDRE – APPARTEMENT S+1 À AIN ZAGHOUAN,258000 DT,Tunis,23 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-vendre-appartement-s1-ain-zaghouan/696f653a1813559909245290/,tayara,,258000.0,sale,,Tunis
2,🏡 À Vendre – S+2 Direct Promoteur à Ain Zaghouan,382002 DT,Tunis,24 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-s2-direct-promoteur-ain-zaghouan/696f6517181355990924527e/,tayara,,382002.0,sale,,Tunis
2,🗽 🗽 À VENDRE | Appartements S+1 & S+2 – Direct Promoteur 🗽 📍 Nouvelle Soukra 🗓️ Remise des clés : fin 2026,238001 DT,Tunis,25 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-direct-promoteur-nouvelle-soukra-remise-des-cls-fin-2026/696f64e81813559909245261/,tayara,,238001.0,sale,,Tunis
2,À vendre – Appartement S+2 à Laouina (Titre Bleu Individuel,249000 DT,Tunis,26 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s2-laouina-titre-bleu-individuel/696f64aa1813559909245240/,tayara,,249000.0,sale,,Tunis
2,a louer s+1 neuf a laouina avec parking ss,1050 DT,Tunis,26 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-louer-s1-neuf-a-laouina-avec-parking-ss/696f64871813559909245235/,tayara,,1050.0,rent,,Tunis
2,"À VENDRE : Un superbe appartement S+3 entièrement rénové, idéalement situé à Cité Wahat.",395000 DT,Tunis,27 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-superbe-appartement-s3-entirement-rnov-idalement-situ-cit-wahat/696f6458cfcddb325c09cb02/,tayara,,395000.0,sale,,Tunis
2,A louer s+1 jamais habité nouvelle soukra avec parking ss,1100 DT,tunis,27 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-louer-s1-jamais-habit-nouvelle-soukra-avec-parking-ss/696f6453cfcddb325c09cafe/,tayara,,1100.0,rent,,Tunis
2,"À LOUER : Un superbe appartement S+4, idéalement situé à La Marsa",2200 DT,Tunis,27 minutes ago,https://www.tayara.tn/item/appartements/tunis/la-marsa/-louer-un-superbe-appartement-s4-idalement-situ-la-marsa/696f64471813559909245210/,tayara,,2200.0,rent,,Tunis
2,À LOUER: Un appartement S+1(Meublé ) à La Soukra,1400 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1meubl-la-soukra/696f6436181355990924520c/,tayara,,1400.0,rent,,Tunis
2,* À Vendre - Appartement S+2 s+3 Haut Standing - AinZaghouan • Remise des clés immédiates,355000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s2-s3-haut-standing-ainzaghouan-remise-des-cls-immdiates/696f64302838b4e20246da3c/,tayara,,355000.0,sale,,Tunis
2,"À LOUER : Un appartement S+1 (Jamais Habité ) ,à La Nouvelle Soukra",1500 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1-jamais-habit-la-nouvelle-soukra/696f6420cfcddb325c09cae9/,tayara,,1500.0,rent,,Tunis
2,"À LOUER: Un appartement S+1 (Jamais Habité ), idéalement situé à L'Aouina",1100 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s1-jamais-habit-idalement-situ-laouina/696f640e18135599092451fc/,tayara,,1100.0,rent,,Tunis
2,"a vendre s+1 s+2 direct promoteur a laouina, Achat facilité par crédit bancaire",247000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-direct-promoteur-a-laouina-achat-facilit-par-crdit-bancaire/696f640818135599092451fa/,tayara,,247000.0,sale,,Tunis
2,"À VENDRE : Un appartement S+1 (Jamais Habité) , idéalement situé à Cité Wahat",218000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-appartement-s1-jamais-habit-idalement-situ-cit-wahat/696f63fb2838b4e20246da2d/,tayara,,218000.0,sale,,Tunis
2,"À LOUER : Un appartement S+2, idéalement situé à Cité Wahat",315000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-idalement-situ-cit-wahat/696f63e82838b4e20246da22/,tayara,,315000.0,rent,,Tunis
2,a vendre s+1 s+2 s+3 direct promoteur a laouina,193000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-s3-direct-promoteur-a-laouina/696f63dc18135599092451e6/,tayara,,193000.0,sale,,Tunis
2,À VENDRE :Centre Médical à Ain Zaghouan ( Direct Promoteur ),180000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/696f63d42838b4e20246da1c/,tayara,,180000.0,sale,,Tunis
2,Appartement S+1 à louer – Nouvelle Soukra,1200 DT,Tunis,30 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s1-louer-nouvelle-soukra/696f63bacfcddb325c09cac6/,tayara,,1200.0,rent,,Tunis
2,🏡 À VENDRE – APPARTEMENT S+1 À AIN ZAGHOUAN surface 77 m2,258000 DT,Tunis,30 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-appartement-s1-ain-zaghouan-surface-77-m2/696f639418135599092451d4/,tayara,,258000.0,sale,,Tunis
2,🏠 À VENDRE |s+1 S+2 & S+3 – Haut Standing sur plan 📍jardins de carthage,360000 DT,Tunis,32 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-vendre-s1-s2-s3-haut-standing-sur-plan-jardins-de-carthage/696f633318135599092451b4/,tayara,,360000.0,sale,,Tunis
2,"🏡 À VENDRE | Appartements S+1, S+2 & S+3 – Sur Plan 📍 Nouvelle Soukra | pre €£¥ ain zaghouan",208000 DT,Tunis,33 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-s3-sur-plan-nouvelle-soukra-pre-ain-zaghouan/696f630618135599092451a8/,tayara,,208000.0,sale,,Tunis
2,"À LOUER | S+1 Neuf Jamais Habité – Ain Zaghouan, residence avec salle de sport",1200 DT,Tunis,33 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-louer-s1-neuf-jamais-habit-ain-zaghouan-residence-avec-salle-de-sport/696f62e2181355990924519f/,tayara,,1200.0,rent,,Tunis
