page,title,price,location,listing_date,url,source,size_m2,price_num,type,bedrooms,location_clean
2,* À Vendre - Appartement S+2 s+3 Haut Standing - AinZaghouan • Remise des clés immédiates,355000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s2-s3-haut-standing-ainzaghouan-remise-des-cls-immdiates/696f64302838b4e20246da3c/,tayara,,355000.0,sale,,Tunis
2,"a vendre s+1 s+2 direct promoteur a laouina, Achat facilité par crédit bancaire",247000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-direct-promoteur-a-laouina-achat-facilit-par-crdit-bancaire/696f640818135599092451fa/,tayara,,247000.0,sale,,Tunis
2,"À VENDRE : Un appartement S+1 (Jamais Habité) , idéalement situé à Cité Wahat",218000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-appartement-s1-jamais-habit-idalement-situ-cit-wahat/696f63fb2838b4e20246da2d/,tayara,,218000.0,sale,,Tunis
2,a vendre s+1 s+2 s+3 direct promoteur a laouina,193000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-s3-direct-promoteur-a-laouina/696f63dc18135599092451e6/,tayara,,193000.0,sale,,Tunis
2,À VENDRE :Centre Médical à Ain Zaghouan ( Direct Promoteur ),180000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/696f63d42838b4e20246da1c/,tayara,,180000.0,sale,,Tunis
2,🏡 À VENDRE – APPARTEMENT S+1 À AIN ZAGHOUAN surface 77 m2,258000 DT,Tunis,30 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-appartement-s1-ain-zaghouan-surface-77-m2/696f639418135599092451d4/,tayara,,258000.0,sale,,Tunis
2,🏠 À VENDRE |s+1 S+2 & S+3 – Haut Standing sur plan 📍jardins de carthage,360000 DT,Tunis,32 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-vendre-s1-s2-s3-haut-standing-sur-plan-jardins-de-carthage/696f633318135599092451b4/,tayara,,360000.0,sale,,Tunis
2,"🏡 À VENDRE | Appartements S+1, S+2 & S+3 – Sur Plan 📍 Nouvelle Soukra | pre €£¥ ain zaghouan",208000 DT,Tunis,33 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-s3-sur-plan-nouvelle-soukra-pre-ain-zaghouan/696f630618135599092451a8/,tayara,,208000.0,sale,,Tunis
2,🏠 À VENDRE | S+2 & S+3 – Haut Standing 📍 Nouvelle Soukra | 🗓️ Clés : fin 2025 💰,360000 DT,Tunis,34 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s2-s3-haut-standing-nouvelle-soukra-cls-fin-2025/696f62c32838b4e20246d9b8/,tayara,,360000.0,sale,,Tunis
2,À VENDRE : Des appartements S+2 & S+3 Haut standing situés à La Nouvelle Soukra,360000 DT,Tunis,35 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/696f62861813559909245183/,tayara,,360000.0,sale,,Tunis
3,🏡 À Vendre – Appartements S+1 & S+2 Haut Standing – Ain Zaghouan | Direct Promoteur,3500 DT,Tunis,36 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-haut-standing-ain-zaghouan-direct-promoteur/696f62512838b4e20246d98a/,tayara,,3500.0,sale,,Tunis
3,A VENDRE : Des Appartements & Duplex – Direct Promoteur | La Soukra,290000 DT,Ariana,36 minutes ago,https://www.tayara.tn/item/appartements/ariana/la-soukra/a-vendre-des-appartements-duplex-direct-promoteur-la-soukra/696f624dcfcddb325c09ca54/,tayara,,290000.0,sale,,Ariana
3,À Vendre : Un spacieux appartement S+2 (Direct Promoteur) à La Nouvelle Soukra,289000 DT,Tunis,36 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-spacieux-appartement-s2-direct-promoteur-la-nouvelle-soukra/696f623acfcddb325c09ca4a/,tayara,,289000.0,sale,,Tunis
3,🏡 À VENDRE – S+2 Direct Promoteur à Laouina,381002 DT,Tunis,37 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s2-direct-promoteur-laouina/696f6204cfcddb325c09ca3b/,tayara,,381002.0,sale,,Tunis
3,"À VENDRE : Des appartements S+1, S+2 et S+3 situés à La Nouvelle Soukra ( Direct promoteur )",220000 DT,Tunis,37 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-et-s3-situs-la-nouvelle-soukra-direct-promoteur-/696f61f6cfcddb325c09ca33/,tayara,,220000.0,sale,,Tunis
3,À VENDRE – Appartement S+3 à Jardins de Laouina (Tunis),397000 DT,Tunis,38 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s3-jardins-de-laouina-tunis/696f61e8cfcddb325c09ca2d/,tayara,,397000.0,sale,,Tunis
3,a vendre s+1 s+2 s+3 sur plan remise de cle 2028,216000 DT,Tunis,38 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-s3-sur-plan-remise-de-cle-2028/696f61c4cfcddb325c09ca1e/,tayara,,216000.0,sale,,Tunis
3,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à Cité Wahat.",216000 DT,Tunis,39 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-cit-wahat/696f61a4181355990924513d/,tayara,,216000.0,sale,,Tunis
3,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) à La Nouvelle Soukra",218000 DT,Tunis,39 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/696f6191cfcddb325c09ca0a/,tayara,,218000.0,sale,,Tunis
3,🏡 À Vendre – S+2 Direct Promoteur à Ain Zaghouan résidence avec salle de sport,382000 DT,Tunis,39 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s2-direct-promoteur-ain-zaghouan-rsidence-avec-salle-de-sport/696f6189cfcddb325c09ca07/,tayara,,382000.0,sale,,Tunis
3,🗽 🗽 À VENDRE | Appartements S+1 & S+2 jamais habité – Direct Promoteur 🗽laouina 📍,248000 DT,Tunis,40 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-jamais-habit-direct-promoteur-laouina-/696f6149cfcddb325c09c9f5/,tayara,,248000.0,sale,,Tunis
3,a vendre : Appartement S+3 à L’Aouina – Cité Wahat,268000 DT,Tunis,41 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-appartement-s3-laouina-cit-wahat/696f61292838b4e20246d932/,tayara,,268000.0,sale,,Tunis
3,"A VENDRE : Des Appartements S+1 , S+2 , S+3 (Direct Promoteur) à La Nouvelle Soukra",205000 DT,Tunis,an hour ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/696f5fe7cfcddb325c09c98e/,tayara,,205000.0,sale,,Tunis
3,vente S+3 Cité Les Roses Ariana,159000 DT,Ariana,an hour ago,https://www.tayara.tn/item/appartements/ariana/ariana/vente-s3-cit-les-roses-ariana/6911c086145e1617cba23bef/,tayara,,159000.0,sale,,Ariana
3,"🏡 Appartement à vendre – Les Palmerais, Tunis",240000 DT,Tunis,an hour ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-appartement-vendre-les-palmerais-tunis/696cb7032838b4e20245f536/,tayara,,240000.0,sale,,Tunis
4,"🏡 Appartement à vendre – Les Palmerais, Tunis",240000 DT,Tunis,an hour ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-appartement-vendre-les-palmerais-tunis/696cb7032838b4e20245f536/,tayara,,240000.0,sale,,Tunis
4,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à Ain Zaghouan",266680 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-ain-zaghouan/696533940fe250585263b650/,tayara,,266680.0,sale,,Tunis
5,Terrain a vendre à Kerkouane Kelibia Nabeul,60000 DT,Nabeul,2 hours ago,https://www.tayara.tn/item/terrains-et-fermes/nabeul/klibia/terrain-a-vendre-kerkouane-kelibia-nabeul/696f4fec2838b4e20246d29c/,tayara,,60000.0,sale,,Nabeul
5,📍 ENNASR 2 : APPARTEMENT S+3 À VENDRE,450000 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/-ennasr-2-appartement-s3-vendre/696f4d7a2838b4e20246d1cd/,tayara,,450000.0,sale,,Ariana
7,appartement S+3 de 141 m² à Nouvelle Médina - Vente directe promoteur,371 DT,Ben Arous,2 hours ago,https://www.tayara.tn/item/appartements/ben-arous/medina-jedida/appartement-s3-de-141-m-nouvelle-mdina-vente-directe-promoteur/69467108cd04d08be74dfdf7/,tayara,,371.0,sale,,Ben Arous
7,appartement S+2 de 116 m² à Nouvelle Médina - Vente directe promoteur,280000 DT,tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-de-116-m-nouvelle-mdina-vente-directe-promoteur/6945916bcd04d08be74db7e0/,tayara,,280000.0,sale,,Tunis
7,RIADH EL ANDALOUS : TERRAIN À VENDRE,569000 DT,Ariana,2 hours ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/riadh-andalous/riadh-el-andalous-terrain-vendre/696f49802dfbb8171c4b58b0/,tayara,,569000.0,sale,,Ariana
7,MENZAH 7 BIS: APPARTEMENT S+1 À VENDRE,175000 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/el-menzah-7/menzah-7-bis-appartement-s1-vendre/696f493e2838b4e20246d08f/,tayara,,175000.0,sale,,Ariana
7,MENZAH 9 – TERRAIN À VENDRE L’agence #MON_RESEAU vous,950000 DT,Tunis,2 hours ago,https://www.tayara.tn/item/terrains-et-fermes/tunis/el-menzah-9/menzah-9-terrain-vendrelagence-monreseau-vous/696f49172838b4e20246d086/,tayara,,950000.0,sale,,Tunis
7,📍ENNASR 1 : APPARTEMENT S+1 A VENDRE,185000 DT,Ariana,2 hours ago,https://www.tayara.tn/item/appartements/ariana/ennasr/ennasr-1-appartement-s1-a-vendre/696f48a62dfbb8171c4b5868/,tayara,,185000.0,sale,,Ariana
8,A Vendre Villa pied dans l'eau à Ras Jebel,900000 DT,Bizerte,2 hours ago,https://www.tayara.tn/item/maisons-et-villas/bizerte/ras-jebel/a-vendre-villa-pied-dans-leau-ras-jebel/690a8ec66490817594e3b575/,tayara,,900000.0,sale,,Bizerte
8,A Vendre chic Appartement S+3 à Ras Jebel,230000 DT,Bizerte,2 hours ago,https://www.tayara.tn/item/appartements/bizerte/ras-jebel/a-vendre-chic-appartement-s3-ras-jebel/68a9a15682a3d05f2390378d/,tayara,,230000.0,sale,,Bizerte
8,📍 CITE EZZOUHOUR 4 - TUNIS : ETAGE DE VILLA À VENDRE AVEC CERTIFICAT DE PROPRIÉTÉ,250000 DT,Tunis,2 hours ago,https://www.tayara.tn/item/appartements/tunis/ezzouhour/-cite-ezzouhour-4-tunis-etage-de-villa-vendre-avec-certificat-de-proprit/696f4826181355990924484f/,tayara,,250000.0,sale,,Tunis
8,Terrain à vendre à les Grottes Bizerte -vue de mer,390000 DT,Bizerte,2 hours ago,https://www.tayara.tn/item/terrains-et-fermes/bizerte/bizerte-nord/terrain-vendre-les-grottes-bizerte-vue-de-mer/68079db6c5beda2b51cd0c8d/,tayara,,390000.0,sale,,Bizerte
8,A vendre belle villa à Lehmari Rafraf,340000 DT,Bizerte,2 hours ago,https://www.tayara.tn/item/maisons-et-villas/bizerte/ras-jebel/a-vendre-belle-villa-lehmari-rafraf/68f89652d0d95991e1025583/,tayara,,340000.0,sale,,Bizerte
